question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
What are the two main components of the deliberation function?,"The two main components of the deliberation function are option generation and filtering. [S1]

### Explanation
- **Option Generation**: This component involves identifying and considering all possible options available to the agent. [S1]
- **Filtering**: This component involves selecting between the options and committing to one of them. [S1]

These two components together make up the deliberation function.","['DELIBERATION •How does an agent deliberate? •begin by trying to understand what the options available to you are •choose between them and commit to some •Chosen options are then intentions •The deliberate function can be decomposed into two distinct functional components: •option generation •filtering 12'
 'INTENTION RECONSIDERATION •Solution: incorporate an explicit meta -level control component, that decides whether or not to reconsider. •The possible interactions between meta -level control and deliberation are: 10 cost of reconsider < cost of deliberation'
 'DEDUCTIVE REASONING AGENTS •How does this fit into the abstract description we talked about last time? •The perception function is as before: •of course, this is (much) easier said than done •The next state function revises the database ∆ : 14'
 'AGENTS WITH STATE - PERCEPT 40The see function is the agent’s ability to observe its environment, whereas the action function represents the agent’s decision -making process. Output of the see function is a percept: ...which maps environment states to percepts.'
 'AGENTS WITH STATE - PERCEPT 41•The agent has some internal data structure, which is typically used to record information about the environment state and history •Let I be the set of all internal states of the agent. •The action -selection function is now defined as a mapping from internal states to actions: •An additional function next is introduced, which maps an internal state and percept to an internal state: •This is how the agent updates its view of the world when it gets a new percept']",The deliberate function can be decomposed into two distinct functional components: option generation and filtering,1.0,0.9999999999998556,0.99999999998,1.0
What is the process called when an agent selects an intention to achieve that would have been optimal at the time it observed the world?,"The process being described is called **optimal intention reconsideration**. According to the reference material [S4], both the bold and cautious agents considered how often they should pause to reconsider their intentions. This aligns with the concept of optimal intention reconsideration, where the agent selects an intention that would have been optimal at the time it observed the world.

**Sources: [S4]**","['OPTIMAL AGENTS •The optimal agent in an environment Env is the one that maximizes expected utility: •Of course, the fact that an agent is optimal does not mean that it will be best; only that on average, we can expect it to do best 45'
 'INTENTION RECONSIDERATION •An agent that does not stop to reconsider its intentions sufficiently often will continue to attempt to achieve its intentions even after it is clear that they cannot be achieved, or that there is no longer any reason for achieving them. •An agent that constantly reconsiders its attentions may spend insufficient time actually working to achieve them, and hence runs the risk of never actually achieving them. 9'
 'RECOGNITION •In this stage, an agent recognises it has a problem it needs help with •Agent has a goal, and either •realises it cannot achieve the goal in isolation - i.e. it does not have capability •realises it would prefer not to achieve the goal in isolation (typically because of solution quality, deadline etc.) •As a result, it needs to involve other agents 6'
 'OPTIMAL INTENTION RECONSIDERATION •Kinny and Georgeff’s experimentally investigated effectiveness of intention reconsideration strategies •Two different types of reconsideration strategy were used: •bold agents : never pause to reconsider intentions, and •cautious agents : stop to reconsider after every action. •Dynamism in the environment is represented by the rate of world change, γ. •Experiments were carried out using Tileword . 11'
 'AGENTS WITH STATE - PERCEPT 41•The agent has some internal data structure, which is typically used to record information about the environment state and history •Let I be the set of all internal states of the agent. •The action -selection function is now defined as a mapping from internal states to actions: •An additional function next is introduced, which maps an internal state and percept to an internal state: •This is how the agent updates its view of the world when it gets a new percept']",The world may change in the meantime; So the agent selects an intention to achieve that would have been optimal at the time it observed the world,0.0,0.5022758954017281,0.99999999998,1.0
What type of commitment involves an agent maintaining an intention as long as it is still believed possible?,Open-minded commitment involves an agent maintaining an intention as long as it is still believed possible.,"['DEGREES OF COMMITMENT Open -minded commitment •An open -minded agent will maintain an intention as long as it is still believed possible . •An agent has commitment both to: •ends (i.e., the state of affairs it wishes to bring about), and •means (i.e., the mechanism via which the agent wishes to achieve the state of affairs). 4'
 'DEGREES OF COMMITMENT Blind commitment •A blindly committed agent will continue to maintain an intention until it believes the intention has actually been achieved . Blind commitment is also sometimes referred to as fanatical commitment. Single -minded commitment •A single -minded agent will continue to maintain an intention until it believes that either the intention has been achieved , or else that it is no longer possible to achieve the intention. 3'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Consider commitment and intention in an agent •Degrees of commitment •Intention reconsideration 2'
 'BLIND COMMITMENT •Makes the control loop more reactive, able to change intention when the world changes •Still overcommitted to intentions (ends) •Never stops to consider whether or not its intentions are appropriate 6'
 'SUMMARY •We considered different types of commitment strategies. •We have also looked at intention reconsideration. •Finally, we looked at how BDI (belief -desire -intention) model is implemented in the Procedural Reasoning System (PRS) 14']",Open -minded commitment,1.0,0.629240799305802,0.99999999998,1.0
What is the main difference between Blind commitment and Single-minded commitment?,"Blind commitment and single-minded commitment both deal with maintaining an intention until it is achieved or deemed impossible, but blind commitment is more reactive, overcommitted to intentions, and never considers the appropriateness of its intentions, while single-minded commitment stops to determine whether intentions have succeeded or if they are impossible.

- **Blind Commitment**: Makes the control loop more reactive, able to change intention when the world changes. However, it is still overcommitted to intentions and never stops to consider whether or not its intentions are appropriate.
- **Single-minded Commitment**: Stops to determine whether intentions have succeeded or if they are impossible. This allows the agent to reconsider its intentions after executing a plan, achieving current intentions, or believing intentions are no longer possible.

**Sources: [S1], [S4]**","['DEGREES OF COMMITMENT Blind commitment •A blindly committed agent will continue to maintain an intention until it believes the intention has actually been achieved . Blind commitment is also sometimes referred to as fanatical commitment. Single -minded commitment •A single -minded agent will continue to maintain an intention until it believes that either the intention has been achieved , or else that it is no longer possible to achieve the intention. 3'
 'BLIND COMMITMENT •Makes the control loop more reactive, able to change intention when the world changes •Still overcommitted to intentions (ends) •Never stops to consider whether or not its intentions are appropriate 6'
 'DEGREES OF COMMITMENT Open -minded commitment •An open -minded agent will maintain an intention as long as it is still believed possible . •An agent has commitment both to: •ends (i.e., the state of affairs it wishes to bring about), and •means (i.e., the mechanism via which the agent wishes to achieve the state of affairs). 4'
 'SINGLE MINDED COMMITMENT •Modification: stop to determine whether intentions have succeeded or whether they are impossible •Our agent now gets to reconsider its intentions once every time around the outer control loop i.e., after: •it has completely executed a plan to achieve its current intentions; or •it believes it has achieved its current intentions; or •it believes its current intentions are no longer possible 7'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Consider commitment and intention in an agent •Degrees of commitment •Intention reconsideration 2']",Blind commitment makes the control loop more reactive and overcommitted to intentions (ends). Single -minded commitment modifies this by stopping to determine whether intentions have succeeded or whether they are impossible.,1.0,0.9936324982474624,0.999999999975,0.4
What does the term 'fanatical commitment' refer to?,"'Fanatical commitment' refers to a type of commitment strategy called blind commitment, where an agent continues to maintain an intention until it believes the intention has actually been achieved.

**Sources: [S1]**","['DEGREES OF COMMITMENT Blind commitment •A blindly committed agent will continue to maintain an intention until it believes the intention has actually been achieved . Blind commitment is also sometimes referred to as fanatical commitment. Single -minded commitment •A single -minded agent will continue to maintain an intention until it believes that either the intention has been achieved , or else that it is no longer possible to achieve the intention. 3'
 'DEGREES OF COMMITMENT Open -minded commitment •An open -minded agent will maintain an intention as long as it is still believed possible . •An agent has commitment both to: •ends (i.e., the state of affairs it wishes to bring about), and •means (i.e., the mechanism via which the agent wishes to achieve the state of affairs). 4'
 'BLIND COMMITMENT •Makes the control loop more reactive, able to change intention when the world changes •Still overcommitted to intentions (ends) •Never stops to consider whether or not its intentions are appropriate 6'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Consider commitment and intention in an agent •Degrees of commitment •Intention reconsideration 2'
 'AGENT0 •The key component, which determines how the agent acts, is the commitment rule set. •Each commitment rule contains •a message condition ; •a mental condition ; and •an action 23']",Fanatical commitment refers to blind commitment.,1.0,0.9365027092194523,0.99999999995,1.0
What are the two things that an open-minded agent has commitment both to?,"An open-minded agent has commitment both to ends (the state of affairs it wishes to bring about) and means (the mechanism via which the agent wishes to achieve the state of affairs).

- According to [S1], an open-minded commitment involves maintaining an intention as long as it is still believed possible. This includes commitments to both ends and means.
- [S1] and [S2] explain that open-minded commitment requires the agent to have intention towards both the desired state and the method to achieve it.","['DEGREES OF COMMITMENT Open -minded commitment •An open -minded agent will maintain an intention as long as it is still believed possible . •An agent has commitment both to: •ends (i.e., the state of affairs it wishes to bring about), and •means (i.e., the mechanism via which the agent wishes to achieve the state of affairs). 4'
 'DEGREES OF COMMITMENT Blind commitment •A blindly committed agent will continue to maintain an intention until it believes the intention has actually been achieved . Blind commitment is also sometimes referred to as fanatical commitment. Single -minded commitment •A single -minded agent will continue to maintain an intention until it believes that either the intention has been achieved , or else that it is no longer possible to achieve the intention. 3'
 'OPEN MINDED COMMITMENT •In the previous version, our agent reconsiders its intentions once every time around the outer control loop •In this new version, our agent also reconsiders its intentions after every action •But this intention reconsideration is costly! 8'
 'SINGLE MINDED COMMITMENT •Modification: stop to determine whether intentions have succeeded or whether they are impossible •Our agent now gets to reconsider its intentions once every time around the outer control loop i.e., after: •it has completely executed a plan to achieve its current intentions; or •it believes it has achieved its current intentions; or •it believes its current intentions are no longer possible 7'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Consider commitment and intention in an agent •Degrees of commitment •Intention reconsideration 2']","ends (i.e., the state of affairs it wishes to bring about), and means (i.e., the mechanism via which the agent wishes to achieve the state of affairs).",1.0,0.5115925109149624,0.99999999998,1.0
What is the cost implication of the new intention reconsideration strategy introduced in Open-minded commitment?,"The new intention reconsideration strategy introduced in Open-minded commitment is costly, as mentioned in the reference materials.

- **Sources**: [S1]","['OPEN MINDED COMMITMENT •In the previous version, our agent reconsiders its intentions once every time around the outer control loop •In this new version, our agent also reconsiders its intentions after every action •But this intention reconsideration is costly! 8'
 'DEGREES OF COMMITMENT Open -minded commitment •An open -minded agent will maintain an intention as long as it is still believed possible . •An agent has commitment both to: •ends (i.e., the state of affairs it wishes to bring about), and •means (i.e., the mechanism via which the agent wishes to achieve the state of affairs). 4'
 'SUMMARY •We considered different types of commitment strategies. •We have also looked at intention reconsideration. •Finally, we looked at how BDI (belief -desire -intention) model is implemented in the Procedural Reasoning System (PRS) 14'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Consider commitment and intention in an agent •Degrees of commitment •Intention reconsideration 2'
 'OPTIMAL INTENTION RECONSIDERATION •Kinny and Georgeff’s experimentally investigated effectiveness of intention reconsideration strategies •Two different types of reconsideration strategy were used: •bold agents : never pause to reconsider intentions, and •cautious agents : stop to reconsider after every action. •Dynamism in the environment is represented by the rate of world change, γ. •Experiments were carried out using Tileword . 11']",This intention reconsideration is costly!,0.0,0.0,0.699999999965,1.0
What is the purpose of subsumption architecture in reactive agents?,"Subsumption architecture in reactive agents is a hierarchical structure of behaviors where lower layers have precedence over higher layers. Each behavior is simple and rule-like, competing to control the agent. It allows for the integration of simple rules to achieve complex emergent behavior.

Sources: [S1], [S3]","['LEARNING OUTCOMES At the end of this lecture, you should be able to: •Explain subsumption architecture in reactive agents •Brook’s behavioral languages •Emergent behavior 2'
 'SUMMARY •We have looked at agent systems that uses subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •We have compared advantages and limitations of reactive agent •Next → Hybrid architecture 12'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'REACTIVE AND HYBRID ARCHITECTURES: SUBSUMPTION ARCHITECTURE BAXI 3113 – INTELLIGENT AGENT Dr. Nur Zareen Zulkarnain Department of Intelligent Computing and Analytics (ICA) DG/1 -18 zareen@utem.edu.my 1'
 'SUBSUMPTION ARCHITECTURE •A subsumption architecture is a hierarchy of task - accomplishing behaviours . •Each behaviour is a rather simple rule -like structure. •Each behaviour ‘competes’ with others to exercise control over the agent. •Lower layers represent more primitive kinds of behaviour and have precedence over layers further up the hierarchy. •Extremely simple in computational terms (but sometimes extremely effective) 8Rodney Brooks “subsumption architecture” used in his Genghis robot']",A subsumption architecture is a hierarchy of task-accomplishing behaviors. Each behavior is a rather simple rule-like structure. Each behavior 'competes' with others to exercise control over the agent. Lower layers represent more primitive kinds of behavior and have precedence over layers further up the hierarchy. It is extremely simple in computational terms (but sometimes extremely effective).,1.0,0.9734793110855047,0.47777777776185176,1.0
What are the three theses proposed by Rodney Brooks regarding intelligent behavior?,"Rodney Brooks proposed three theses regarding intelligent behavior: 1. Intelligent behavior can be generated without explicit representations of the kind that symbolic AI proposes. 2. Intelligent behavior can be generated without explicit abstract reasoning of the kind that symbolic AI proposes. 3. Intelligence is an emergent property of certain complex systems. [S1], [S2]

Sources: [S1], [S2]","['BROOKS BEHAVIOURAL LANGUAGES Brooks proposed the following three theses: 1.Intelligent behaviour can be generated without explicit representations of the kind that symbolic AI proposes. 2.Intelligent behaviour can be generated without explicit abstract reasoning of the kind that symbolic AI proposes. 3.Intelligence is an emergent property of certain complex systems. 6Rodney Brooks: One of the most vocal critics of symbolic AI'
 'BROOKS BEHAVIOURAL LANGUAGES Brooks’ research is based on two key ideas: 1.Situatedness and embodiment: ‘Real’ intelligence is situated in the world, not in disembodied systems such as theorem provers or expert systems. 2.Intelligence and emergence: ‘Intelligent’ behaviour arises as a result of an agent’s interaction with its environment. Also, intelligence is ‘in the eye of the beholder’; it is not an innate, isolated property. 7'
 'SUMMARY •This lecture has looked in detail at what constitutes an intelligent agent •We looked at the properties of an intelligent agent and the properties of the environments in which it may operate •We introduced the intentional stance and discussed its use •Finally, we discussed what kinds of task an agent might need to carry out. 50'
 'INTELLIGENT AGENTS AND AI •When building an agent, we simply want a system that can choose the right action to perform, typically in a limited domain •We do not have to solve all the problems of AI to build a useful agent → a little intelligence goes a long way! 20“We made our agents dumber and dumber and dumber . . . until finally they made money.” - Oren Etzioni regarding NETBOT, Inc.'
 'SUMMARY •Overall, of the three lectures: •Key assumption: benevolence •Agents are working together, not in competition •In today’s lecture, We discussed a number of ways of having agents decide what to do, and make sure that their work is coordinated 14']",Brooks proposed the following three theses: 1. Intelligent behavior can be generated without explicit representations of the kind that symbolic AI proposes. 2. Intelligent behavior can be generated without explicit abstract reasoning of the kind that symbolic AI proposes. 3. Intelligence is an emergent property of certain complex systems.,0.0,0.999999999999857,0.99999999998,1.0
What is the key idea behind situatedness and embodiment according to Brooks?,"The key idea behind situatedness and embodiment, as proposed by Brooks, is that 'Real' intelligence is situated in the world, not in disembodied systems such as theorem provers or expert systems. This emphasizes the importance of the environment in the functioning of intelligent systems.

**Sources**: [S1]","['BROOKS BEHAVIOURAL LANGUAGES Brooks’ research is based on two key ideas: 1.Situatedness and embodiment: ‘Real’ intelligence is situated in the world, not in disembodied systems such as theorem provers or expert systems. 2.Intelligence and emergence: ‘Intelligent’ behaviour arises as a result of an agent’s interaction with its environment. Also, intelligence is ‘in the eye of the beholder’; it is not an innate, isolated property. 7'
 'BROOKS BEHAVIOURAL LANGUAGES Brooks proposed the following three theses: 1.Intelligent behaviour can be generated without explicit representations of the kind that symbolic AI proposes. 2.Intelligent behaviour can be generated without explicit abstract reasoning of the kind that symbolic AI proposes. 3.Intelligence is an emergent property of certain complex systems. 6Rodney Brooks: One of the most vocal critics of symbolic AI'
 'SCRIPTS •TCL programs are called scripts •So where does the idea of an agent come in? •It is easy to build applications where TCL scripts are exchanged across a network , and executed on remote machines → scripts become sort of agents •Key issue is safety → This led to Safe TCL , which provides mechanisms for limiting the access provided to a script 21'
 'THE CONTRACT NET PROTOCOL •One of the oldest, most widely used agent interaction protocols •A manager agent announces one or several tasks, agents place bids for performing them •Task is assigned by manager according to evaluation function applied to agents’ bids ( e.g. choose cheapest agent) •Idea of exploiting local cost function (agents’ private knowledge) for distributed optimal task allocation •Successfully applied to different domains ( e.g. transport logistics) 4'
 'BLOCKSWORLD •The environment is represented by an ontology •The closed world assumption is used - Anything not stated is assumed to be false. •A goal is represented as a set of formulae. 6']","Situatedness and embodiment: 'Real' intelligence is situated in the world, not in disembodied systems such as theorem provers or expert systems.",nan,0.9861656933007943,0.99999999998,1.0
What is the characteristic of emergent behavior in a subsumption architecture?,"Emergent behavior in a subsumption architecture is characterized by behaviors that arise from the interactions among simpler rules-like structures, which compete with each other to control the agent. These behaviors do not require centralized control or explicit programming, but rather emerge from the collective dynamics of the lower layers of a hierarchy.

Sources: [S1], [S2]","['LEARNING OUTCOMES At the end of this lecture, you should be able to: •Explain subsumption architecture in reactive agents •Brook’s behavioral languages •Emergent behavior 2'
 'SUMMARY •We have listed 3 broad categories of architecture •We discussed Brook’s behavioural languages •We explained subsumption architecture and emergent behaviour •Next → Examples of subsumption architecture implementation 12'
 'SUBSUMPTION ARCHITECTURE •A subsumption architecture is a hierarchy of task - accomplishing behaviours . •Each behaviour is a rather simple rule -like structure. •Each behaviour ‘competes’ with others to exercise control over the agent. •Lower layers represent more primitive kinds of behaviour and have precedence over layers further up the hierarchy. •Extremely simple in computational terms (but sometimes extremely effective) 8Rodney Brooks “subsumption architecture” used in his Genghis robot'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'SUMMARY •We have looked at agent systems that uses subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •We have compared advantages and limitations of reactive agent •Next → Hybrid architecture 12']","Putting simple behaviors together leads to synergies. Emergent behavior is an important but not well-understood phenomenon, often found in behavior-based/reactive systems. Agent behaviors 'emerge' from interactions of rules with the environment.",1.0,0.9655291545681468,0.8333333332916666,1.0
What are the advantages of a subsumption architecture in terms of behavior coding and testing?,"A subsumption architecture in reactive agents allows for a simpler and more effective behavior coding and testing process. This is because each behavior is a simple rule-like structure, making it easier to implement and test compared to complex algorithms.

**Sources**: [S1], [S2], [S3]","['SUBSUMPTION ARCHITECTURE •A subsumption architecture is a hierarchy of task - accomplishing behaviours . •Each behaviour is a rather simple rule -like structure. •Each behaviour ‘competes’ with others to exercise control over the agent. •Lower layers represent more primitive kinds of behaviour and have precedence over layers further up the hierarchy. •Extremely simple in computational terms (but sometimes extremely effective) 8Rodney Brooks “subsumption architecture” used in his Genghis robot'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Explain subsumption architecture in reactive agents •Brook’s behavioral languages •Emergent behavior 2'
 'SUMMARY •We have listed 3 broad categories of architecture •We discussed Brook’s behavioural languages •We explained subsumption architecture and emergent behaviour •Next → Examples of subsumption architecture implementation 12'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'SUMMARY •We have looked at agent systems that uses subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •We have compared advantages and limitations of reactive agent •Next → Hybrid architecture 12']","Since each layer is independent, each can independently be coded / tested / debugged. Particular well-suited to Autonomous Robots.",1.0,0.6438163312735546,0.6999999999766667,0.5
What is the name of the intelligent agent system used as an example in the text?,"In [S1], it is mentioned that the lecture looked at what constitutes an intelligent agent and introduced the intentional stance. However, no specific example system is named.

In [S4], it is stated that an intelligent agent is a computer system capable of flexible autonomous action in some environment and it can exhibit three types of behavior: reactive, pro-active, and social ability. But this does not provide an example name.

Based on the given references, no specific intelligent agent system is named. Therefore, no answer can be provided from the given references.","['SUMMARY •This lecture has looked in detail at what constitutes an intelligent agent •We looked at the properties of an intelligent agent and the properties of the environments in which it may operate •We introduced the intentional stance and discussed its use •Finally, we discussed what kinds of task an agent might need to carry out. 50'
 'SYMBOLIC REASONING AGENTS •The classical approach to building agents is to view them as a particular type of knowledge -based system and bring all the associated methodologies of such systems to bear. •This paradigm is known as symbolic AI •A deliberative agent or agent architecture is defined to be one that: •contains an explicitly represented, symbolic model of the world; •makes decisions (for example about what actions to perform) via symbolic reasoning. 9'
 'AGENT -BASED DESIGN •Design aims to engineer , at least •What are the main components interacting within the system •What are the responsibilities and the capabilities of each component in the system •How the components interact to implement the system, i.e., the architecture of the system •Differently from analysis: we need to choose on which agents to use and how they interact 6'
 'INTELLIGENT AGENT It is typically thought as exhibiting 3 types of behaviour : •Reactive •Pro-active •Social Ability 7An intelligent agent is a computer system capable of flexible autonomous action in some environment'
 'METATEM AGENTS •A Concurrent MetateM system contains a number of agents (objects) •Each object has 3 attributes: •a name •an interface •a MetateM program 32 •An agent’s interface contains two sets: •messages the agent will accept •messages the agent may send']",BAXI 3113 – INTELLIGENT AGENT,1.0,0.8802955332425543,0.99999999998,1.0
What is the advantage of reactive agent systems mentioned in the text?,"The text mentions that one advantage of reactive agent systems is their ability to make decisions based solely on the present context, without considering past history. Reactive agents, such as a thermostat, decide what to do based purely on current conditions.

**Sources: [S2], [S5]**","['LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'PURELY REACTIVE AGENTS •Some agents decide what to do without reference to their history they base their decision making entirely on the present, with no reference at all to the past •We call such agents purely reactive: •A thermostat is a purely reactive agent. 39'
 'EMERGENT BEHAVIOUR •Important but not well -understood phenomenon, often found in behaviour - based/reactive systems •Agent behaviours “emerge” from interactions of rules with environment •Coded behaviour : In the programming scheme •Observed behaviour : In the eyes of the observer •When observed behaviour > coded behaviour , then we have emergence 11'
 'SUMMARY •Hybrid agents try to combine the speed of reactive agents with the power of deliberative agents •Uses layered approached – horizontal, vertical •We looked at TouringMachines as an example of application 9'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Explain subsumption architecture in reactive agents •Brook’s behavioral languages •Emergent behavior 2']","Simplicity, i.e. modules have high expressiveness",1.0,0.7010818342376787,0.999999999975,0.8
What is one limitation of reactive systems according to the text?,"According to the text in [S1], one limitation of reactive systems is that they cannot consider the past or their history, only the present circumstances. They base their decisions entirely on the current state, without reference to previous states or experiences.

**Sources: [S1], [S2]**","['REACTIVITY •Software is hard to build for dynamic domains: program must consider possibility of failure •A reactive system is one that maintains an ongoing interaction with its environment and responds to changes that occur in it (in time for the response to be useful). 9'
 'PURELY REACTIVE AGENTS •Some agents decide what to do without reference to their history they base their decision making entirely on the present, with no reference at all to the past •We call such agents purely reactive: •A thermostat is a purely reactive agent. 39'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'HYBRID ARCHITECTURES •Idea: Neither completely deliberative nor completely reactive architectures are suitable → combine both perspectives in one hybrid architecture •Build an agent out of two (or more) subsystems: •a deliberative one: responsible for abstract planning and decision -making using symbolic representations •a reactive one: capable to respond to world changes without any complex reasoning and decision -making 3'
 'SUMMARY •Hybrid agents try to combine the speed of reactive agents with the power of deliberative agents •Uses layered approached – horizontal, vertical •We looked at TouringMachines as an example of application 9']",Emergent behavior is very hard to engineer or validate; typically a trial and error approach is ultimately adopted,0.5,0.5950358131087764,0.999999999975,0.125
What is the example of a reactive system used in the text?,"According to the reference materials, a thermostat is described as a purely reactive agent. This indicates that a thermostat is an example of a reactive system.

**Sources: [S1]**","['PURELY REACTIVE AGENTS •Some agents decide what to do without reference to their history they base their decision making entirely on the present, with no reference at all to the past •We call such agents purely reactive: •A thermostat is a purely reactive agent. 39'
 'SUMMARY •Hybrid agents try to combine the speed of reactive agents with the power of deliberative agents •Uses layered approached – horizontal, vertical •We looked at TouringMachines as an example of application 9'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'AGENT -BASED DESIGN •Design aims to engineer , at least •What are the main components interacting within the system •What are the responsibilities and the capabilities of each component in the system •How the components interact to implement the system, i.e., the architecture of the system •Differently from analysis: we need to choose on which agents to use and how they interact 6'
 'REACTIVITY •Software is hard to build for dynamic domains: program must consider possibility of failure •A reactive system is one that maintains an ongoing interaction with its environment and responds to changes that occur in it (in time for the response to be useful). 9']",Steel's Mars Explorer System,1.0,0.8241237876224218,0.8041666666465626,1.0
What is the limitation of reactive systems related to complexity?,"Purely reactive agents, such as a thermostat, make decisions based solely on current conditions without considering past events or their history. This can lead to limitations when dealing with complexity, as they struggle to handle unpredictable or dynamic environments effectively.

**Sources: [S1], [S2]","['PURELY REACTIVE AGENTS •Some agents decide what to do without reference to their history they base their decision making entirely on the present, with no reference at all to the past •We call such agents purely reactive: •A thermostat is a purely reactive agent. 39'
 'SOME VIEWS OF THE FIELD •Software engineers have derived a progressively better understanding of the characteristics of complexity in software. It is now widely recognized that interaction is probably the most important single characteristic of complex software. •Multiagent systems provide a novel new tool for simulating societies , which may help shed some light on various kinds of social processes.'
 'LEARNING OUTCOMES At the end of this lecture, you should be able to: •Illustrate agent systems based on subsumption architecture •ToTo •Steel’s Mars Explorer System •Situated Automata •Compare advantages and limitations of reactive agent 2'
 'SOME VIEWS OF THE FIELD •We want to build systems of interacting, autonomous agents, but we don’t yet know what these systems should look like •You can take a “neat” or “scruffy” approach to the problem, seeing it as a problem of theory or a problem of engineering 37Primarily a search for appropriate theoretical foundations'
 'EMERGENT BEHAVIOUR •Important but not well -understood phenomenon, often found in behaviour - based/reactive systems •Agent behaviours “emerge” from interactions of rules with environment •Coded behaviour : In the programming scheme •Observed behaviour : In the eyes of the observer •When observed behaviour > coded behaviour , then we have emergence 11']","Whilst agents with few layers are straightforward to build, models using many layers are inherently complex and difficult to understand",0.5,0.5568381167554102,0.99999999998,1.0
What is the purpose of hybrid architectures in artificial intelligence?,"The purpose of hybrid architectures in artificial intelligence is to address the limitations of purely deliberative and purely reactive architectures. They combine elements of both to create a more adaptable and intelligent system.

- They aim to resolve the issues faced by completely symbolic and purely reactive systems, which individually have limitations.
- Hybrid architectures integrate two subsystems: a deliberative component for abstract planning and decision-making using symbolic representations, and a reactive component for immediate responses to world changes without complex reasoning.
- By combining deliberative and reactive elements, hybrid architectures can leverage the strengths of each, leading to better performance and adaptability in various environments and tasks.

Sources: [S1], [S3]","['HYBRID ARCHITECTURES •Meta -level control of interactions between these components becomes a key issue in hybrid architectures •Commonly used: layered approaches 4'
 'REACTIVE AND HYBRID ARCHITECTURES: HYBRID ARCHITECTURE BAXI 3113 – INTELLIGENT AGENT Dr. Nur Zareen Zulkarnain Department of Intelligent Computing and Analytics (ICA) DG/1 -18 zareen@utem.edu.my 1'
 'HYBRID ARCHITECTURES •Idea: Neither completely deliberative nor completely reactive architectures are suitable → combine both perspectives in one hybrid architecture •Build an agent out of two (or more) subsystems: •a deliberative one: responsible for abstract planning and decision -making using symbolic representations •a reactive one: capable to respond to world changes without any complex reasoning and decision -making 3'
 'CLASSES OF ARCHITECTURE 71956 - present: Symbolic Reasoning Agents 1985–present: Reactive Agents1990 -present: Hybrid Agents •Decides by manipulating symbols that represent knowledge •Use explicit logical reasoning to decide actions •Problems with symbolic reasoning led to a reaction against this •Hybrid architectures attempt to combine the best of reasoning and reactive architectures 2012–present: Agentic AI •Agents that combine reasoning with LLMs to plan, act, and collaborate autonomously'
 'SOME VIEWS OF THE FIELD •The aim of Artificial Intelligence as a field is to produce general human -level intelligence . This requires a very high level of performance in lots of areas: • Vision • Natural language understanding / generation • Reasoning • Building an agent that can perform well on a narrowly defined task in a specific environment is much easier (though not easy). • Systems like Deep Space 1 and the Autonomous Asteroid Exploration Project show that this is possible.']","The idea of hybrid architectures is to combine both deliberative and reactive perspectives in one architecture, as neither of these is suitable by themselves.",1.0,0.9999999999998831,0.4166666666458333,nan
